width,depth,trial,magnetization,square_magnetization,seconds
4,0,1,-0.00146484375,-0.002197265625,-0.015386375999810298
4,1,1,-0.0166015625,-0.01953125,-0.02868951999988667
4,2,1,0.00537109375,-0.009521484375,0.23692939899990506
4,3,1,-0.04443359375,0.006103515625,0.3341917999997577
4,4,1,0.046875,0.03173828125,0.45200701999993953
4,5,1,-0.02490234375,-0.009033203125,0.6932008850000102
4,6,1,-0.01171875,0.013671875,0.9319099459999052
4,7,1,-0.0732421875,-0.00390625,1.0904837630000657
4,8,1,-0.05517578125,-0.001220703125,1.16083506699988
4,9,1,-0.0263671875,-0.01220703125,1.2339305470001705
4,10,1,-0.01806640625,0.010498046875,1.2242194899997685
4,11,1,-0.04345703125,0.019287109375,1.2262020799998368
4,12,1,0.0185546875,-0.005859375,1.168890382000086
4,13,1,0.005859375,0.00244140625,1.106058694000012
4,14,1,-0.0205078125,0.0,1.0356092949998583
4,15,1,0.01806640625,0.022216796875,0.9739321149997977
4,16,1,-0.04638671875,0.016845703125,0.8944787610000731
4,17,1,0.0029296875,0.00732421875,0.8325564069997995
4,18,1,0.0537109375,-0.0400390625,0.7630975649997822
4,19,1,-0.02099609375,0.011474609375,0.6925396449998402
4,20,1,0.04345703125,-0.025146484375,0.6269139939999491
6,0,1,-3.3306690738754696e-16,0.0008680555555550251,-0.30699670300145954
6,1,1,-0.03287760416666796,-0.03808593750000033,-0.7837910130007799
6,2,1,0.07226562500000022,-0.0019531249999999722,-1.799470090002842
6,3,1,-0.41178385416666663,-0.12727864583333334,-2.6621079269999086
6,4,1,-0.05371093749999992,0.012044270833333537,-3.359335669999723
6,5,1,0.07096354166666646,0.014756944444444642,-4.0293264440022085
6,6,1,-0.09928385416666653,0.02441406250000036,-4.939122027000508
6,7,1,0.0029296875000000625,-0.005967881944444586,-6.200048174002859
6,8,1,0.004557291666666775,-0.03732638888888953,-7.488374390002889
6,9,1,-0.09440104166666671,-0.016710069444444614,-8.55149343700026
6,10,1,0.016276041666666623,-0.042317708333333814,-9.599087212000711
6,11,1,0.06249999999999999,0.005208333333333537,-10.652658885001529
6,12,1,0.043945312500000014,-0.005316840277777651,-11.997775424999816
6,13,1,-0.10091145833333329,0.006944444444444392,-14.536562970000148
6,14,1,-0.16927083333333343,-0.03537326388888945,-17.534986105002815
6,15,1,0.023111979166666616,0.01464843750000025,-19.2012712130022
6,16,1,-0.01953124999999995,0.0030381944444444475,-20.90257436300334
6,17,1,-0.02246093749999999,-0.044379340277778484,-22.585303289000535
6,18,1,0.1259765625000001,-0.021375868055555802,-27.570912670000837
6,19,1,-0.013346354166666664,0.009223090277777957,-30.010726833001172
6,20,1,-0.09342447916666663,-0.02159288194444467,-32.19372878600035
8,0,1,0.00244140625,0.00439453125,-0.34427242599980445
8,1,1,-0.048828125,-0.05859375,-0.4692256949998068
8,2,1,0.187255859375,0.06842041015625,-0.7814671499999122
8,3,1,-0.035888671875,-0.04217529296875,-1.3316517169997724
8,4,1,0.048583984375,-0.00384521484375,-2.0726938189999373
8,5,1,0.03076171875,-0.0455322265625,-3.1522674109999684
8,6,1,0.060791015625,-0.02642822265625,-4.246002455999815
