{'width': 6, 'depth': 17, 'trial': 1, 'magnetization': -0.02246093749999999, 'square_magnetization': -0.044379340277778484, 'seconds': -22.585303289000535}
{'width': 6, 'depth': 18, 'trial': 1, 'magnetization': 0.1259765625000001, 'square_magnetization': -0.021375868055555802, 'seconds': -27.570912670000837}
{'width': 6, 'depth': 19, 'trial': 1, 'magnetization': -0.013346354166666664, 'square_magnetization': 0.009223090277777957, 'seconds': -30.010726833001172}
{'width': 6, 'depth': 20, 'trial': 1, 'magnetization': -0.09342447916666663, 'square_magnetization': -0.02159288194444467, 'seconds': -32.19372878600035}
{'width': 8, 'depth': 0, 'trial': 1, 'magnetization': 0.00244140625, 'square_magnetization': 0.00439453125, 'seconds': -0.34427242599980445}
{'width': 8, 'depth': 1, 'trial': 1, 'magnetization': -0.048828125, 'square_magnetization': -0.05859375, 'seconds': -0.4692256949998068}
{'width': 8, 'depth': 2, 'trial': 1, 'magnetization': 0.187255859375, 'square_magnetization': 0.06842041015625, 'seconds': -0.7814671499999122}
{'width': 8, 'depth': 3, 'trial': 1, 'magnetization': -0.035888671875, 'square_magnetization': -0.04217529296875, 'seconds': -1.3316517169997724}
{'width': 8, 'depth': 4, 'trial': 1, 'magnetization': 0.048583984375, 'square_magnetization': -0.00384521484375, 'seconds': -2.0726938189999373}
{'width': 8, 'depth': 5, 'trial': 1, 'magnetization': 0.03076171875, 'square_magnetization': -0.0455322265625, 'seconds': -3.1522674109999684}
{'width': 8, 'depth': 6, 'trial': 1, 'magnetization': 0.060791015625, 'square_magnetization': -0.02642822265625, 'seconds': -4.246002455999815}
{'width': 8, 'depth': 7, 'trial': 1, 'magnetization': 0.054931640625, 'square_magnetization': -0.02581787109375, 'seconds': -5.0045321220000005}
{'width': 8, 'depth': 8, 'trial': 1, 'magnetization': 0.06640625, 'square_magnetization': -0.0068359375, 'seconds': -5.055768249999744}
{'width': 8, 'depth': 9, 'trial': 1, 'magnetization': 0.010498046875, 'square_magnetization': -0.00030517578125, 'seconds': -4.978959175000114}
{'width': 8, 'depth': 10, 'trial': 1, 'magnetization': -0.066162109375, 'square_magnetization': 0.00531005859375, 'seconds': -5.593547044999809}
{'width': 8, 'depth': 11, 'trial': 1, 'magnetization': -0.035888671875, 'square_magnetization': -0.00286865234375, 'seconds': -8.644263425999839}
{'width': 8, 'depth': 12, 'trial': 1, 'magnetization': 0.033203125, 'square_magnetization': 0.0015869140625, 'seconds': -9.833176556999945}
{'width': 8, 'depth': 13, 'trial': 1, 'magnetization': -0.03515625, 'square_magnetization': -0.0177001953125, 'seconds': -10.92943069599977}
{'width': 8, 'depth': 14, 'trial': 1, 'magnetization': 0.08154296875, 'square_magnetization': 0.009521484375, 'seconds': -11.966232844999865}
{'width': 8, 'depth': 15, 'trial': 1, 'magnetization': 0.052490234375, 'square_magnetization': 0.00347900390625, 'seconds': -16.221046210999873}
{'width': 8, 'depth': 16, 'trial': 1, 'magnetization': 0.02685546875, 'square_magnetization': 0.0263671875, 'seconds': -17.995693160999963}
{'width': 8, 'depth': 17, 'trial': 1, 'magnetization': -0.0458984375, 'square_magnetization': 0.0240478515625, 'seconds': -19.21714000699984}
{'width': 8, 'depth': 18, 'trial': 1, 'magnetization': 0.00537109375, 'square_magnetization': -0.007568359375, 'seconds': -21.69185558900017}
{'width': 8, 'depth': 19, 'trial': 1, 'magnetization': 0.02392578125, 'square_magnetization': 0.0093994140625, 'seconds': -22.813556437999807}
{'width': 8, 'depth': 20, 'trial': 1, 'magnetization': 0.02099609375, 'square_magnetization': 0.031005859375, 'seconds': -24.597446612000056}
{'width': 9, 'depth': 0, 'trial': 1, 'magnetization': 0.0013020833333339255, 'square_magnetization': 0.0006751543209880806, 'seconds': -0.35318300599971053}
{'width': 9, 'depth': 1, 'trial': 1, 'magnetization': 0.07356770833333537, 'square_magnetization': 0.09153163580246981, 'seconds': -0.8553263050000055}
{'width': 9, 'depth': 2, 'trial': 1, 'magnetization': 0.12847222222221977, 'square_magnetization': 0.06375385802469172, 'seconds': -1.2514165369999546}
{'width': 9, 'depth': 3, 'trial': 1, 'magnetization': 0.2161458333333332, 'square_magnetization': 0.006462191358024935, 'seconds': -4.587745454000014}
{'width': 9, 'depth': 4, 'trial': 1, 'magnetization': 0.04861111111111129, 'square_magnetization': 0.0063657407407408245, 'seconds': -6.199872155999799}
{'width': 9, 'depth': 5, 'trial': 1, 'magnetization': -0.0065104166666666505, 'square_magnetization': 0.0003858024691358458, 'seconds': -7.638871077000033}
{'width': 9, 'depth': 6, 'trial': 1, 'magnetization': -0.1223958333333332, 'square_magnetization': 0.011381172839506098, 'seconds': -12.451387716999761}
{'width': 9, 'depth': 7, 'trial': 1, 'magnetization': 0.06901041666666677, 'square_magnetization': 0.0038580246913578475, 'seconds': -14.774888578999935}
{'width': 9, 'depth': 8, 'trial': 1, 'magnetization': 0.08637152777777779, 'square_magnetization': 0.021894290123456894, 'seconds': -17.711220706999597}
{'width': 9, 'depth': 9, 'trial': 1, 'magnetization': 0.049913194444444406, 'square_magnetization': 0.007040895061728433, 'seconds': -19.726612296999747}
{'width': 9, 'depth': 10, 'trial': 1, 'magnetization': 0.10394965277777785, 'square_magnetization': 0.0009645061728392468, 'seconds': -21.477980415999866}
{'width': 9, 'depth': 11, 'trial': 1, 'magnetization': 0.057074652777777866, 'square_magnetization': -0.005497685185185314, 'seconds': -23.14500867699968}
